ai_likelihood,domain,llm_prediction_CLAUDE,llm_prediction_DEEPSEEK,llm_prediction_GOOGLE,llm_prediction_GPT35,llm_prediction_GPT4,llm_prediction_GROK,llm_prediction_HUMAN,llm_prediction_NOVA,llm_prediction_OPENAI_O_SERIES,llm_prediction_OTHER,paper_id,process
9.602970547146267e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W956880892,original
6.953875223795574e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2062159711,original
2.914004855685764e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1987829706,original
1.2682543860541451e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2512301368,original
1.4536910586886936e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2969530397,original
6.622738308376736e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2134488310,original
2.5166405571831597e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W3111045049,original
5.265076955159506e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2122354099,original
9.271833631727431e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1980983873,original
0.00029537412855360244,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2911525012,original
2.6490953233506946e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2784017243,original
1.357661353217231e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2046583787,original
5.198849572075738e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2895537893,original
1.986821492513021e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2912804508,original
8.112854427761502e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2793149934,original
1.6159481472439238e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2534408394,original
1.457002427842882e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2099433779,original
1.394086413913303e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2588530653,original
0.000674989488389757,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2127214339,original
6.390942467583551e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1589867153,original
2.8908252716064453e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2546121611,original
3.311369154188368e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2030819749,original
2.947118547227648e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2025485284,original
1.3609727223714193e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2791529893,original
4.13921144273546e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2135279580,original
4.669030507405599e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2117165279,original
6.059805552164714e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2885272554,original
3.7087334526909726e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2593454393,original
0.0002234511905246311,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2912159433,original
9.006924099392361e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1994203598,original
3.973642985026042e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2163424120,original
7.020102606879341e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2056850659,original
5.629327562120226e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2048733721,original
8.344650268554688e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1966487281,original
2.7815500895182294e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1982760221,original
3.675619761149089e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2015356349,original
0.0004476971096462674,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2061114404,original
8.742014567057293e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2017411388,original
8.94731945461697e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2066738962,original
5.298190646701389e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1609316839,original
1.0596381293402778e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1983818299,original
6.298224131266276e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2090299656,original
2.2517310248480903e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1991748716,original
2.9802322387695312e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2766467644,original
3.311369154188368e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2327455511,original
1.6225708855523005e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1993907461,original
1.1258655124240452e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1901129140,original
1.986821492513021e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1861492603,original
0.00010311603546142578,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1570448133,original
1.933839586046007e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2031611770,original
7.450580596923828e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2150220236,original
1.986821492513021e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2112796928,original
2.2186173333062066e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2142678478,original
5.0067901611328125e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2119180969,original
2.4504131740993925e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1677409904,original
2.317958407931858e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2954996726,original
2.294778823852539e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2028046413,original
0.008951822916666668,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2142238829,original
8.675787183973525e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W4297733535,original
6.086296505398221e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2125910575,original
9.503629472520617e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2118020653,original
0.0,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2981731882,original
3.096130159166124e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2123442489,original
1.953707800971137e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2026062398,original
3.4769376118977866e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1969353942,original
1.897414525349935e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2493916176,original
1.7484029134114586e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2964199361,original
1.529852549235026e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2963748441,original
1.5762117173936633e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2089458547,original
1.6225708855523005e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2134295053,original
1.3278590308295357e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2136850043,original
8.27842288547092e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2541884796,original
1.367595460679796e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2580035316,original
5.894237094455296e-06,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2395579298,original
5.19553820292155e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2058401212,original
2.08947393629286e-05,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2018044188,original
6.291601392957899e-07,computer_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2054692642,original
